,low,high,sigma,phase,difference_lower_quantile,difference_upper_quantile,mu,sigma_squared
0,0.7,1.3,0.5,0.0,-0.7794433224422364,0.8395460536253891,-0.14199903708174558,0.23007300511106132
0,0.7,1.3,0.5,1.0,-0.6873191350965357,0.737493441635276,-0.11248129775607373,0.1899826245368908
0,0.7,1.3,0.5,2.0,-0.5885449918192003,0.6335425202593419,-0.10960079567856759,0.13542206779207278
0,0.7,1.3,0.5,3.0,-0.5441083766965921,0.4329937340732744,-0.0926826840593443,0.10181031785525538
0,0.7,1.3,0.5,4.0,-0.5100345656430665,0.35940303940648993,-0.09940442704107315,0.07227984399180792
0,0.7,1.3,0.5,5.0,-0.48149235957600084,0.3472911641285881,-0.10682981421216646,0.05892179201712078
0,0.7,1.3,0.5,6.0,-0.44417367387686085,0.3320801107484506,-0.09844607571061645,0.053652591588602846
0,0.7,1.3,0.5,7.0,-0.40371076483161483,0.3065064129870554,-0.08387817032533565,0.04910344941642572
0,0.7,1.3,0.5,8.0,-0.3772995294605152,0.28439481746412476,-0.07567501022988254,0.044098281552681313
0,0.7,1.3,0.5,9.0,-0.3588637339296499,0.2764164639718222,-0.06805590068963438,0.044489882221283056
0,0.7,1.3,0.5,10.0,-0.34778589682340566,0.2894618739462909,-0.061554524833391515,0.04429256525136679
0,0.7,1.3,0.5,11.0,-0.3403189040940271,0.2834111310925891,-0.05490217086082621,0.043868917076184843
0,0.7,1.3,0.5,12.0,-0.33592173965521566,0.2794139316643777,-0.052236874265789345,0.040359223799445794
0,0.7,1.3,0.5,13.0,-0.3310556759609754,0.26744581562195197,-0.05056091223876512,0.03570999051276183
0,0.7,1.3,0.5,14.0,-0.32407617973065694,0.26410450513926986,-0.046408621312367206,0.03339907785091356
0,0.7,1.3,0.5,15.0,-0.32019699213503705,0.26015733207976033,-0.043261881063118325,0.03225160621110859
0,0.7,1.3,0.5,16.0,-0.319609232951344,0.25781449780769666,-0.04090714771740983,0.03169534531784651
0,0.7,1.3,0.5,17.0,-0.3149281938697495,0.25328872347302994,-0.03864767649829312,0.030957834655354902
0,0.7,1.3,0.5,18.0,-0.3087598267716595,0.2400946055653518,-0.03542993973125076,0.029876735122322074
0,0.7,1.3,0.5,19.0,-0.30276548258897074,0.22753288224281126,-0.03199645557799668,0.028430878345873385
0,0.7,1.3,0.5,20.0,-0.296930867399443,0.21393144731404834,-0.030251455087030123,0.026289549356593438
0,0.7,1.3,0.5,21.0,-0.29081687286519914,0.1971281490235674,-0.030470769682625753,0.02359721436889485
0,0.7,1.3,0.5,22.0,-0.2827392156848747,0.18275070786392694,-0.030549346831955627,0.02127916328790539
0,0.7,1.3,0.5,23.0,-0.2712210614224051,0.1737371909749981,-0.031930818284205936,0.019177244719378365
0,0.7,1.3,0.5,24.0,-0.26321428011237286,0.15815962793557858,-0.03358326705984443,0.017670195374331947
0,0.7,1.3,0.5,25.0,-0.25410419102891424,0.14266687194890396,-0.03498400848901097,0.01654456477854953
0,0.7,1.3,0.5,26.0,-0.2369767486886184,0.12231618137071797,-0.03638443837707782,0.01513966662121381
0,0.7,1.3,0.5,27.0,-0.22316842796675568,0.11006653787489512,-0.036908398822561535,0.013944210504626516
0,0.7,1.3,0.5,28.0,-0.21260062342092256,0.10708266878344679,-0.03725102888270263,0.01316011531780169
0,0.7,1.3,0.5,29.0,-0.2005162076236223,0.10113697160478537,-0.037363575323581574,0.011958895921048011
0,0.7,1.3,0.5,30.0,-0.19466492352289536,0.09484367651980424,-0.037399011046191005,0.010581065996108457
0,0.7,1.3,0.5,31.0,-0.18483666843892232,0.08713662463681143,-0.034911804081953025,0.009257194806688795
0,0.7,1.3,0.5,32.0,-0.16876461384608876,0.07976347685020635,-0.032194056107497114,0.007572405870746864
0,0.7,1.3,0.5,33.0,-0.158053073153625,0.074798539208656,-0.02938590712487171,0.006407525122537297
0,0.7,1.3,0.5,34.0,-0.14529413142868708,0.06534357190233853,-0.026359052973440173,0.005168816522807593
0,0.7,1.3,0.5,35.0,-0.1366621404446068,0.06289672536677768,-0.02421098173586784,0.0042377816117894415
0,0.7,1.3,0.5,36.0,-0.12914530606457783,0.059626667825318815,-0.02223155047916892,0.003626153962548996
0,0.7,1.3,0.5,37.0,-0.1217227797045349,0.05786275434802121,-0.020173194873178354,0.0030875524636452844
0,0.7,1.3,0.5,38.0,-0.11452291589140412,0.05448858997873362,-0.01873930669114144,0.0026466775356039883
0,0.7,1.3,0.5,39.0,-0.10988722490526102,0.05368277140974802,-0.017910537841745653,0.002455346983347009
0,0.7,1.3,0.5,40.0,-0.1082479000026615,0.05248885891504408,-0.017218921648306584,0.00218142310958036
0,0.7,1.3,0.5,41.0,-0.10394425019849597,0.0493253422124911,-0.016797257994540682,0.0019952924844703485
0,0.7,1.3,0.5,42.0,-0.0999663132452126,0.04783069042981526,-0.016536764204983026,0.00185068367607852
0,0.7,1.3,0.5,43.0,-0.0926605951994946,0.04657931107026829,-0.01617851056306216,0.0017324629142945983
0,0.7,1.3,0.5,44.0,-0.08913616599969898,0.04488124054493326,-0.01550606836204244,0.0015668724579457616
0,0.7,1.3,0.5,45.0,-0.08036210294156083,0.04297855281450582,-0.01494953502022017,0.0014301921352939083
0,0.7,1.3,0.5,46.0,-0.07644654680478817,0.04289433076777839,-0.014348056497012521,0.0013339768261817141
0,0.7,1.3,0.5,47.0,-0.07159856462802147,0.04238810702912671,-0.013800881619240873,0.0012337351116214613
0,0.7,1.3,0.5,48.0,-0.06707702475583471,0.04071309881272594,-0.013015243664094912,0.0011444351133564254
0,0.7,1.3,0.5,49.0,-0.06307613853374947,0.04106403403567254,-0.012482479822779837,0.0010802844426127175
0,0.7,1.3,0.5,50.0,-0.061149004731149106,0.04003632500731297,-0.011886471352017713,0.0010064526565879096
0,0.7,1.3,0.5,51.0,-0.05821323543229415,0.039606700129757255,-0.011411526442718705,0.0009470188568451918
0,0.7,1.3,0.5,52.0,-0.05612595698126314,0.038798951342622935,-0.011031239939577284,0.0009001677409629296
0,0.7,1.3,0.5,53.0,-0.05458629533112414,0.03824464661389116,-0.010582172329684019,0.0008521329896013629
0,0.7,1.3,0.5,54.0,-0.05223084683709881,0.03702201458832669,-0.009987569038036501,0.0007940447696157761
0,0.7,1.3,0.5,55.0,-0.04984348606426476,0.03649700135277053,-0.009524141420893152,0.0007480533113006404
0,0.7,1.3,0.5,56.0,-0.04821430257229103,0.035425828445142006,-0.009123641495300865,0.000706000180297427
0,0.7,1.3,0.5,57.0,-0.04723016430648581,0.035303420323632845,-0.008690601941699598,0.0006710594761539409
0,0.7,1.3,0.5,58.0,-0.046036980274275906,0.03426176867915601,-0.008113865200523415,0.0006317596345433663
0,0.7,1.3,0.5,59.0,-0.045437580329397334,0.03340832193354342,-0.0076410772933234415,0.0006004170086882166
0,0.7,1.3,0.5,60.0,-0.04444734625091074,0.032477359277842524,-0.00723517172002681,0.0005761948453542041
0,0.7,1.3,0.5,61.0,-0.043754403258645366,0.032022454931764734,-0.006916340112194748,0.0005546182089845432
0,0.7,1.3,0.5,62.0,-0.04254812714661969,0.031480790488959916,-0.006443843711132274,0.0005267787341581476
0,0.7,1.3,0.5,63.0,-0.041944907293796144,0.0308862432573459,-0.005985806404437094,0.0005053349262375552
0,0.7,1.3,0.5,64.0,-0.04071986507829674,0.030421153358462256,-0.0056128363428976065,0.00048776364002179847
0,0.7,1.3,0.5,65.0,-0.040176539873059865,0.029835930729220327,-0.005294302140098958,0.00047845867118978704
0,0.7,1.3,0.5,66.0,-0.03924423234020935,0.029292153666688144,-0.004946925833414242,0.0004658071858982648
0,0.7,1.3,0.5,67.0,-0.03892470776920198,0.028821352991409605,-0.004617435526490266,0.0004509521712997875
0,0.7,1.3,0.5,68.0,-0.03820679228743948,0.028595538669702436,-0.00437816094690174,0.00043631185127914347
0,0.7,1.3,0.5,69.0,-0.03789807251030699,0.027738945924251603,-0.004126228896112457,0.0004309492158110804
0,0.7,1.3,0.5,70.0,-0.03742688934546252,0.027399244731845573,-0.00391263288386901,0.0004187636367057614
0,0.7,1.3,0.5,71.0,-0.03706978748475646,0.02702409298699788,-0.003727393545263249,0.0004139016824238461
0,0.7,1.3,0.5,72.0,-0.03620921058564609,0.02633594868455041,-0.0035655172142937393,0.000402755342696668
0,0.7,1.3,0.5,73.0,-0.03605312236765524,0.025667349113660726,-0.003461286124392182,0.0003909610145865611
0,0.7,1.3,0.5,74.0,-0.0352696959342715,0.025047835565721956,-0.0032912213657997234,0.0003790742443087524
0,0.7,1.3,0.5,75.0,-0.034289858935550824,0.02447609491659072,-0.0031799483377740346,0.0003665125604899985
0,0.7,1.3,0.5,76.0,-0.0341059971841318,0.023950344995826933,-0.0030447293520508593,0.00035568209304310785
0,0.7,1.3,0.5,77.0,-0.03326919764804828,0.023503008762651684,-0.0028961547414532865,0.00034471827307003033
0,0.7,1.3,0.5,78.0,-0.032273260176993696,0.02326155813160385,-0.002746732158689072,0.00033390626316733056
0,0.7,1.3,0.5,79.0,-0.031721673931562756,0.02246106367300424,-0.0026681531998151123,0.00032203739819716183
0,0.7,1.3,0.5,80.0,-0.031236805547293783,0.02204837386634164,-0.0025567343233510865,0.0003075076187843808
0,0.7,1.3,0.5,81.0,-0.030464966448809385,0.021451686434171145,-0.002465390888183657,0.0002948525074262096
0,0.7,1.3,0.5,82.0,-0.02982714360828433,0.02120815676535471,-0.002378029937255376,0.00028338806328624173
0,0.7,1.3,0.5,83.0,-0.028991457702618552,0.020865042366734164,-0.0023482421124866046,0.00026917903383914224
0,0.7,1.3,0.5,84.0,-0.028065051608753815,0.02045650195400076,-0.002235331539040572,0.0002575660633674471
0,0.7,1.3,0.5,85.0,-0.02712816738263288,0.02009390507797309,-0.002133346375967054,0.00024137860158889347
0,0.7,1.3,0.5,86.0,-0.0261204846782208,0.01947245243738182,-0.0019974428292530663,0.00022650675072268848
0,0.7,1.3,0.5,87.0,-0.024918690764244474,0.018824788398318203,-0.001877819562361062,0.00021135449249823292
0,0.7,1.3,0.5,88.0,-0.02411373653403428,0.01799050707922149,-0.0017925624302378067,0.00019660598608862653
0,0.7,1.3,0.5,89.0,-0.02279849764129464,0.01726598260603526,-0.0017238269037382237,0.00017617275987468617
0,0.7,1.3,0.5,90.0,-0.021744571148215614,0.016647438699761572,-0.0016798998201376768,0.00015828995265377871
0,0.7,1.3,0.5,91.0,-0.020401293198965456,0.015718076419933454,-0.0015883482236939775,0.00014055071763449797
0,0.7,1.3,0.5,92.0,-0.019211612997601844,0.01462281251842274,-0.0014846201757680005,0.0001238110857805969
0,0.7,1.3,0.5,93.0,-0.017747750737591998,0.013335536047934537,-0.0013656210571062115,0.0001043598441242124
0,0.7,1.3,0.5,94.0,-0.015896278499133182,0.012521336928553785,-0.0012559058451707599,8.432251726613665e-05
0,0.7,1.3,0.5,95.0,-0.014041159686996763,0.010499148931266975,-0.0011512305741796793,6.42884785764441e-05
0,0.7,1.3,0.5,96.0,-0.012540709325065983,0.009326736120585058,-0.0009640148040291622,4.875608302559153e-05
0,0.7,1.3,0.5,97.0,-0.010586599916046425,0.007852703715063062,-0.0007492418544275086,3.2942174745757216e-05
0,0.7,1.3,0.5,98.0,-0.008626132389151369,0.005963016930137568,-0.00044458249764199446,1.9040422837564984e-05
0,0.7,1.3,0.5,99.0,0.0,0.0,0.0,0.0
